PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.COMPUTER.SCIENCE.COMPUTING.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Math.Stats.HL.Score,IB.Further.mathematics.SL.Score,IB.Computer.Sc..SL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,AP.Computer.Science..AB..Score
N395122408240,2020,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,770,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N376122421239,2020,F,"Philosophy, Politics and Economics",Economics,NA,NA,700,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N356122412241,2020,M,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N331122402240,2020,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373122414240,2020,M,"Mathematical, Computational and Statistical Sciences",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344122418241,2020,M,"Philosophy, Politics and Economics",Economics,NA,NA,650,NA,,,,,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N309122418240,2020,M,History,Global Affairs,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N317122421240,2020,M,,Undecided,NA,NA,790,NA,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N334122423222,2020,F,Global Affairs,Literature,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N390122414241,2020,M,,Economics,NA,NA,NA,36,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N359122408240,2020,F,Psychology,Environmental Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N318122414241,2020,F,Anthropology,Environmental Studies,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N397122413239,2020,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N314122424241,2020,M,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N374122413240,2020,F,Literature,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319122413241,2020,F,Physical Sciences,Environmental Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N315122424240,2020,F,"Philosophy, Politics and Economics",Urban Studies,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303122402241,2020,M,Physical Sciences,Environmental Studies,NA,NA,790,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N375122410241,2020,M,Life Sciences,Physical Sciences,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
